Manufacturer,Typecode,nd,vd,ne,ve,PgF,dPgF,PrecisionMolding
CDGM,ZF1,1.64769,33.8373,1.65222,33.5878,0.588839,0.0006,
CDGM,H-ZF2,1.67270,32.1716,1.67764,31.9197,0.598263,0.0073,
CDGM,ZF2,1.67271,32.1814,1.67766,31.9485,0.590596,-0.0014,
CDGM,H-ZF3,1.71736,29.4995,1.72310,29.2647,0.604762,0.0093,
CDGM,ZF3,1.71736,29.5108,1.72311,29.2871,0.597544,0.0012,
CDGM,H-ZF4A,1.72825,28.3192,1.73432,28.0926,0.608168,0.0107,
CDGM,H-ZF4AGT,1.72825,28.3192,1.73432,28.0926,0.608168,0.0107,
CDGM,ZF4,1.72825,28.3243,1.73433,28.1054,0.603715,0.0064,
CDGM,H-ZF5,1.74000,28.2960,1.74617,28.0702,0.607931,0.0104,
CDGM,ZF5,1.74000,28.2454,1.74619,28.0292,0.601707,0.0039,
CDGM,H-ZF6,1.75520,27.5304,1.76167,27.3085,0.609956,0.0111,
CDGM,ZF6,1.75521,27.5466,1.76168,27.3385,0.602222,0.0020,
CDGM,H-ZF7LA,1.80518,25.4566,1.81263,25.2536,0.615122,0.0127,
CDGM,H-ZF7LAGT,1.80518,25.4566,1.81263,25.2536,0.615122,0.0127,
CDGM,ZF7,1.80628,25.3805,1.81377,25.1849,0.610395,0.0073,
CDGM,ZF7L,1.80519,25.4716,1.81265,25.2761,0.610142,0.0074,
CDGM,ZF7LGT,1.80519,25.4716,1.81265,25.2761,0.610142,0.0074,
CDGM,ZF7LTT,1.80519,25.4716,1.81265,25.2761,0.610142,0.0074,
CDGM,ZF8,1.65446,33.6516,1.65907,33.4062,0.588259,-0.0001,
CDGM,H-ZF10,1.68893,31.1610,1.69415,30.9164,0.600065,0.0074,
CDGM,ZF10,1.68893,31.1851,1.69416,30.9559,0.592740,-0.0002,
CDGM,H-ZF11,1.69894,30.0508,1.70443,29.8135,0.602959,0.0084,
CDGM,ZF11,1.69895,30.0661,1.70444,29.8336,0.599257,0.0048,
CDGM,H-ZF12,1.76182,26.6083,1.76857,26.3926,0.613253,0.0128,
CDGM,ZF12,1.76182,26.5560,1.76860,26.3502,0.606787,0.0066,
CDGM,H-ZF13,1.78472,25.7204,1.79191,25.5122,0.615770,0.0138,
CDGM,H-ZF13GT,1.78472,25.7204,1.79191,25.5122,0.615770,0.0138,
CDGM,ZF13,1.78472,25.7544,1.79192,25.5537,0.609519,0.0080,
CDGM,H-ZF39,1.66680,33.0541,1.67157,32.7990,0.595541,0.0061,
CDGM,H-ZF50,1.74077,27.7604,1.74706,27.5392,0.609433,0.0109,
CDGM,ZF50,1.74077,27.7682,1.74708,27.5558,0.603253,0.0050,
CDGM,ZF51,1.78470,26.0762,1.79181,25.8783,0.606025,0.0052,
CDGM,H-ZF52,1.84666,23.7848,1.85504,23.5949,0.620776,0.0155,
CDGM,H-ZF52GT,1.84666,23.7848,1.85504,23.5949,0.620776,0.0155,
CDGM,H-ZF52TT,1.84666,23.7848,1.85504,23.5949,0.620776,0.0155,
CDGM,H-ZF52A,1.84667,23.7915,1.85505,23.6059,0.620517,0.0151,
CDGM,ZF52,1.84667,23.8279,1.85504,23.6416,0.619001,0.0140,
CDGM,H-ZF62,1.92286,20.8802,1.93322,20.7023,0.639933,0.0298,
CDGM,H-ZF62GT,1.92286,20.8802,1.93322,20.7023,0.639933,0.0298,
CDGM,H-ZF71,1.80810,22.6984,1.81646,22.5098,0.629529,0.0224,
CDGM,H-ZF71GT,1.80810,22.6984,1.81646,22.5098,0.629529,0.0224,
CDGM,H-ZF72A,1.92286,18.8961,1.93429,18.7392,0.649913,0.0363,
CDGM,H-ZF72AGT,1.92286,18.8961,1.93429,18.7392,0.649913,0.0363,
CDGM,H-ZF73,1.95906,17.4727,1.97189,17.3299,0.658634,0.0426,
CDGM,H-ZF73GT,1.95906,17.4727,1.97189,17.3299,0.658634,0.0426,
CDGM,H-ZF88,1.94595,17.9422,1.95828,17.7954,0.655239,0.0401,
CDGM,H-ZF88GT,1.94595,17.9422,1.95828,17.7954,0.655239,0.0401,
CDGM,H-LaF1,1.69362,49.1944,1.69697,48.9092,0.559172,-0.0028,
CDGM,H-LaF2,1.71700,47.8892,1.72056,47.6026,0.560638,-0.0035,
CDGM,H-LaF3B,1.74400,44.9006,1.74794,44.6162,0.565143,-0.0041,
CDGM,H-LaF4,1.74950,34.9897,1.75457,34.7258,0.589289,0.0031,
CDGM,H-LaF4GT,1.74950,34.9897,1.75457,34.7258,0.589289,0.0031,
CDGM,H-LaFL5,1.75367,37.4921,1.75843,37.2295,0.581924,0.0001,
CDGM,H-LaF6LA,1.75700,47.7124,1.76078,47.4698,0.555680,-0.0088,
CDGM,H-LaF7,1.78179,37.0926,1.78679,36.8319,0.581700,-0.0009,
CDGM,H-LaF10LA,1.78800,47.4923,1.79195,47.2511,0.555147,-0.0097,
CDGM,H-LaF50B,1.77250,49.5996,1.77621,49.3604,0.551662,-0.0096,
CDGM,H-LaF51,1.70000,48.0804,1.70346,47.7954,0.561365,-0.0024,
CDGM,H-LaF52,1.78590,44.1877,1.79013,43.9363,0.562245,-0.0083,
CDGM,H-LaF53,1.74330,49.2224,1.74690,48.9782,0.552947,-0.0090,
CDGM,H-LaF54,1.79952,42.2538,1.80401,42.0059,0.567804,-0.0064,
CDGM,H-LaF55,1.76200,40.1060,1.76651,39.8323,0.574768,-0.0027,
CDGM,H-LaF62,1.72000,43.6813,1.72392,43.3976,0.568656,-0.0027,
CDGM,H-ZLaF1,1.80166,44.2640,1.80597,44.0129,0.562587,-0.0078,
CDGM,H-ZLaF2A,1.80279,46.7619,1.80688,46.5128,0.557282,-0.0089,
CDGM,H-ZLaF3,1.85545,36.5985,1.86099,36.3563,0.579218,-0.0053,
CDGM,H-ZLaF4LA,1.91082,35.2508,1.91694,35.0034,0.583268,-0.0024,
CDGM,H-ZLaF4LB,1.91082,35.2828,1.91694,35.0346,0.583432,-0.0022,
CDGM,H-ZLaF50E,1.80400,46.5750,1.80811,46.3233,0.557574,-0.0088,
CDGM,H-ZLaF50D,1.80400,46.5756,1.80811,46.3267,0.557376,-0.0090,
CDGM,H-ZLaF51,1.80450,39.6357,1.80932,39.3808,0.573253,-0.0050,
CDGM,H-ZLaF52A,1.80610,41.0174,1.81077,40.7616,0.569224,-0.0067,
CDGM,H-ZLaF52,1.80610,40.9459,1.81077,40.6910,0.570702,-0.0050,
CDGM,H-ZLaF53B,1.83400,37.2110,1.83932,36.9592,0.578361,-0.0040,
CDGM,H-ZLaF53BGT,1.83400,37.2110,1.83932,36.9592,0.578361,-0.0040,
CDGM,H-ZLaF55D,1.83481,42.7257,1.83946,42.4772,0.564354,-0.0086,
CDGM,H-ZLaF55C,1.83481,42.7121,1.83946,42.4612,0.564860,-0.0081,
CDGM,H-ZLaF56B,1.80610,33.2687,1.81183,33.0196,0.592456,0.0034,
