Manufacturer,Typecode,nd,vd,"P_g,F","d_Pg,F"
Ohara,S-TIM27,1.6398,34.5,0.5922,0.0065
Hikari,J-BAF12,1.6393,44.83,0.5697,0.0005
Ohara,S-BAM12,1.6393,44.9,0.5683,-0.0006
Hikari,J-SK18,1.6385,55.34,0.5502,-0.0013
Hoya,BaCD18,1.6385,55.45,0.546875,-0.001
Ohara,S-BSM18,1.6385,55.4,0.5484,-0.0035
Hikari,J-PSKH8,1.6285,59.17,0.5557,0.0106
Hikari,J-F1,1.6259,35.72,0.5888,0.0044
Hoya,E-F1,1.6259,35.74,0.588235,0.0038
Hikari,J-BAF8,1.6237,47.01,0.565,-0.0005
Hoya,E-BaF8,1.6237,47.05,0.563019,-0.001
Ohara,S-BSM15,1.623,58.2,0.5458,-0.0016
Hoya,BaCD15,1.623,58.12,0.543843,0.0007
Hikari,J-SK15,1.623,58.12,0.5438,-0.003
Hikari,Q-SK15S,1.6229,58.3,0.5438,-0.0027
Hoya,E-BaCD10,1.6228,56.91,0.547532,0.0009
Hikari,J-SK10,1.6228,57.1,0.5463,-0.0022
Ohara,S-BSM10,1.6228,57,0.5464,-0.0028
Hoya,M-BACD15,1.6226,58.17,0.540187,-0.0045
Ohara,S-BSM16,1.6204,60.3,0.5427,-0.0012
Hikari,J-SK16,1.6204,60.25,0.5402,-0.0031
Hoya,BaCD16,1.6204,60.35,0.539883,-0.0003
Ohara,S-TIM2,1.62,36.3,0.5879,0.0051
Hoya,E-F2,1.62,36.3,0.587237,0.0043
Hikari,J-F2,1.62,36.4,0.5878,0.0045
Hoya,PCD40,1.62,63.88,0.54171,0.0092
Hoya,M-PCD4,1.6188,63.85,0.541796,0.0083
Hikari,Q-PSKH52S,1.6188,63.73,0.541,0.0036
Hikari,J-PSK02,1.618,63.34,0.5411,0.0031
Hoya,PCD4,1.618,63.4,0.539487,0.0059
Ohara,S-PHM52,1.618,63.4,0.5441,0.0051
Ohara,S-BSM28,1.6177,49.8,0.5603,-0.0006
Hikari,J-SSK8,1.6177,49.81,0.5596,-0.0012
Hikari,J-SSK1,1.6172,53.97,0.5502,-0.0036
Ohara,S-NBM51,1.6134,44.3,0.5633,-0.0065
Hoya,E-ADF10,1.6131,44.36,0.560781,-0.008
Hikari,J-F3,1.6129,36.95,0.5863,0.004
Hoya,E-F3,1.6129,36.96,0.585645,0.0032
Hikari,J-SK4,1.6127,58.54,0.5447,-0.0015
Hoya,BaCD4,1.6127,58.58,0.544933,0.0019
